"Area"	"Mean"	"Min"	"Max"	"BX"	"BY"	"Width"	"Height"	"Feret"	"FeretX"	"FeretY"	"FeretAngle"	"MinFeret"	"source"	"pbad24"	"pbad33"
0.678	255	255	255	99.634	68.444	1.086	1.086	1.185	2206	1534	46.548	1.024	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.051	255	255	255	29.152	68.626	1.313	1.358	1.395	654	1516	103.134	1.177	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.727	255	255	255	81.889	68.852	1.086	0.996	1.196	1809	1525	150.524	0.972	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.961	255	255	255	98.593	68.988	1.086	1.358	1.389	2184	1525	109.026	1.037	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.893	255	255	255	101.037	69.984	1.132	1.222	1.35	2235	1571	50.44	1.101	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.91	255	255	255	48.074	72.021	1.132	1.086	1.236	1062	1608	23.749	1.086	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.213	255	255	255	30.284	72.202	0.634	0.543	0.653	669	1598	146.31	0.543	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.986	255	255	255	60.568	72.247	1.132	1.132	1.287	1340	1599	140.711	1.132	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.717	255	255	255	38.749	73.062	1.086	0.996	1.185	861	1634	43.452	0.992	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.254	255	255	255	73.243	73.967	0.724	0.679	0.816	1619	1646	33.69	0.607	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.75	255	255	255	96.691	74.556	1.041	1.041	1.118	2136	1655	158.629	1.006	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1	255	255	255	80.893	75.189	1.222	1.177	1.369	1787	1664	145.784	1.15	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.879	255	255	255	51.016	75.416	1.177	1.041	1.255	1128	1682	25.641	1.041	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.969	255	255	255	35.942	75.506	1.313	1.086	1.414	794	1669	140.194	1.086	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.814	255	255	255	47.44	75.642	0.996	1.222	1.287	1050	1674	129.289	0.996	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.998	255	255	255	46.399	76.276	1.132	1.267	1.397	1032	1713	65.095	1.131	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.828	255	255	255	69.531	76.774	1.041	1.041	1.132	1536	1701	143.13	1.041	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.225	255	255	255	87.909	78.584	0.453	0.996	1.012	1945	1736	100.305	0.453	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.541	255	255	255	38.387	79.49	0.905	0.996	1.056	851	1757	120.964	0.879	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.885	255	255	255	32.955	79.535	1.132	1.086	1.236	729	1776	28.443	1.086	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.215	255	255	255	95.333	79.897	0.588	0.543	0.643	2108	1765	129.289	0.543	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.867	255	255	255	42.868	80.667	1.177	1.222	1.282	950	1786	137.862	1.082	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.818	255	255	255	31.642	81.3	1.177	1.177	1.268	704	1797	124.824	1.068	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.889	255	255	255	55.77	81.3	1.177	1.177	1.268	1233	1801	145.176	1.156	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.266	255	255	255	60.342	82.794	0.724	0.588	0.774	1333	1837	20.556	0.588	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.746	255	255	255	65.864	83.383	1.041	0.951	1.188	1455	1846	139.635	0.951	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.01	255	255	255	47.531	83.654	1.267	1.313	1.362	1058	1848	105.422	1.152	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.926	255	255	255	74.42	84.424	1.267	1.267	1.322	1645	1868	128.047	1.126	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.955	255	255	255	65.23	84.469	1.177	1.177	1.358	1443	1867	126.87	1.124	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.682	255	255	255	90.988	84.469	0.905	0.951	1.042	2010	1870	145.62	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.658	255	255	255	68.444	84.695	0.996	0.996	1.132	1516	1891	53.13	0.971	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.588	255	255	255	98.185	85.691	1.041	0.905	1.06	2170	1907	19.983	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.225	255	255	255	55.362	86.235	0.543	0.543	0.643	1223	1906	140.711	0.527	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.621	255	255	255	46.082	86.733	1.086	0.996	1.145	1018	1920	161.565	0.939	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.516	255	255	255	96.691	88.226	0.86	0.815	0.932	2136	1954	150.945	0.811	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.779	255	255	255	46.218	88.679	1.132	1.086	1.195	1024	1961	127.304	1.028	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.684	255	255	255	87.638	88.77	0.996	0.905	1.056	1936	1965	149.036	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.861	255	255	255	72.609	89.358	1.177	1.041	1.243	1604	1978	146.889	1.041	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
1.039	255	255	255	93.296	89.358	1.403	1.222	1.406	2061	1983	176.309	1.2	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.672	255	255	255	86.416	89.494	0.996	0.951	1.113	1909	1993	26.565	0.951	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.963	255	255	255	41.284	89.72	1.132	1.313	1.346	922	2011	70.346	1.112	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.898	255	255	255	64.597	91.486	1.132	1.086	1.236	1427	2027	156.251	1.084	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.764	255	255	255	69.621	92.165	1.086	1.177	1.245	1544	2036	109.093	0.96	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.686	255	255	255	33.181	92.481	1.086	0.996	1.188	735	2044	139.635	0.95	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.768	255	255	255	52.691	92.527	1.222	0.996	1.236	1164	2056	8.427	0.996	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.727	255	255	255	92.255	93.16	1.086	0.951	1.16	2038	2072	20.556	0.951	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.287	255	255	255	75.053	93.704	0.634	0.86	0.917	1659	2089	69.775	0.607	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.52	255	255	255	51.379	94.066	0.86	0.815	0.917	1135	2082	147.095	0.815	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.314	255	255	255	84.288	95.379	0.724	0.724	0.779	1864	2121	35.538	0.628	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.34	255	255	255	43.819	95.695	0.815	0.815	0.899	970	2116	139.086	0.749	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.303	255	255	255	53.868	95.695	0.679	0.634	0.73	1190	2117	150.255	0.63	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.32	255	255	255	66.453	95.922	0.679	0.724	0.816	1468	2121	146.31	0.647	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.248	255	255	255	56.041	95.967	0.588	0.543	0.691	1238	2128	31.608	0.543	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.201	255	255	255	31.823	96.103	0.588	0.724	0.905	703	2123	126.87	0.361	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.729	255	255	255	38.477	96.782	0.996	0.905	1.053	851	2153	25.463	0.905	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.729	255	255	255	50.111	97.053	1.041	1.132	1.249	1109	2146	133.531	0.99	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
0.24	255	255	255	33.951	97.235	0.679	0.543	0.704	750	2149	135	0.543	"deltaefpuup_dera24earp33"	"dera24"	"earp33"
