"Area"	"Width"	"Height"	"genotype"	"pbad24"	"pbad33"	"efp_species"
1.02	1.252	1.118	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.338	1.341	0.447	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.898	1.163	1.028	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.15	1.297	1.252	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.116	1.297	1.163	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.932	1.207	1.118	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.196	1.386	1.207	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.878	1.207	0.984	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.946	1.252	1.073	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.872	1.252	0.984	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.366	0.76	1.028	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.96	1.207	1.073	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.032	1.297	1.118	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.404	1.52	0.492	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.414	1.833	1.565	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.136	1.252	1.207	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.47	1.565	0.492	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.456	0.894	0.715	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.326	0.76	0.626	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.362	1.699	1.297	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.988	1.207	1.073	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.34	0.715	1.163	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.846	1.163	1.028	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.97	1.297	1.118	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.132	1.297	1.207	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.546	0.939	0.76	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.304	1.118	0.447	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.53	0.671	1.297	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.338	0.626	0.894	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.812	1.252	1.118	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.332	0.894	0.76	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.12	1.341	1.207	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.016	1.207	1.163	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.452	0.984	0.76	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.004	1.252	1.118	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.912	1.207	1.028	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.696	1.028	0.984	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.92	1.207	1.252	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.424	1.297	0.894	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.892	1.252	1.073	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
1.036	1.252	1.163	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.498	1.028	1.297	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.978	1.207	1.118	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.43	1.565	0.492	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.304	0.894	0.85	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.356	0.715	1.028	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
0.76	1.163	1.073	"deltaefpuup_dera24empty33"	"dera"	"empty"	"D. radiodurans"
2.073	1.699	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.346	1.744	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.261	1.61	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.768	1.52	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.846	1.476	0.939	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.822	1.52	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.199	1.654	1.699	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.121	1.61	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.202	1.699	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.49	1.431	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.888	1.654	1.073	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.146	1.207	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.099	1.699	1.699	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.116	1.252	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.586	1.341	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.588	1.431	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.796	1.654	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.874	1.52	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.82	1.61	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.656	1.52	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.158	1.341	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.632	1.565	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.312	1.476	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.028	1.297	0.939	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.415	1.61	1.923	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.696	1.476	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.744	1.476	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.092	1.431	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.336	1.341	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.891	1.654	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.063	1.699	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.87	1.476	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.698	1.431	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.892	1.297	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.26	1.341	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.124	1.341	1.207	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.457	1.878	1.967	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.162	1.341	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.223	1.789	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.903	1.654	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.402	1.297	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.802	1.476	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.592	0.805	0.984	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.134	1.252	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.688	1.386	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.895	1.431	1.699	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.944	1.118	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.02	1.386	0.939	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.614	1.386	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.217	1.699	1.699	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.316	1.252	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.071	1.52	1.967	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.138	1.207	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.172	1.341	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.366	1.565	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.75	1.52	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.256	1.297	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.469	1.744	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.376	1.297	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.278	1.431	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.834	1.118	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.604	0.984	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.788	1.52	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.61	1.476	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.416	1.431	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.178	1.341	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.41	1.386	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.218	1.476	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.792	1.118	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.748	1.476	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.396	1.252	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.246	1.163	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.266	1.252	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.53	1.431	1.386	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.084	1.252	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.168	1.297	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.84	1.118	1.163	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.668	1.52	1.565	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.936	1.028	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.62	1.341	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.278	1.297	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.542	1.386	1.744	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.364	1.565	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.832	1.565	1.52	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.914	1.118	1.118	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
0.876	1.297	1.028	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.979	1.744	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.354	1.386	1.341	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.4	1.386	1.61	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.025	1.52	1.833	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.32	1.476	1.476	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.014	1.341	1.252	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.354	1.476	1.431	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
2.061	1.654	1.654	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
1.214	1.431	1.297	"deltaefpuup_eco24earp33"	"eco"	"earp"	"E. coli"
