Colony_width	EFP_plasmid	EarP_plasmid
0.984	E.coli	earp
1.118	E.coli	earp
1.028	E.coli	earp
1.386	E.coli	earp
1.341	E.coli	earp
1.252	E.coli	earp
1.341	E.coli	earp
1.297	E.coli	earp
1.431	E.coli	earp
1.207	E.coli	earp
1.476	E.coli	earp
1.878	E.coli	earp
1.073	E.coli	earp
1.61	E.coli	earp
1.252	E.coli	earp
1.654	E.coli	earp
1.207	E.coli	earp
1.476	E.coli	earp
1.118	E.coli	earp
1.386	E.coli	earp
1.118	E.coli	earp
1.297	E.coli	earp
1.476	E.coli	earp
1.431	E.coli	earp
0.984	E.coli	earp
1.073	E.coli	earp
1.252	E.coli	earp
1.476	E.coli	earp
1.386	E.coli	earp
1.341	E.coli	earp
1.341	E.coli	earp
1.61	E.coli	earp
1.654	E.coli	earp
1.52	E.coli	earp
1.386	E.coli	earp
1.431	E.coli	earp
0.939	E.coli	earp
1.431	E.coli	earp
1.297	E.coli	earp
1.163	E.coli	earp
1.073	E.coli	earp
1.297	E.coli	earp
1.297	E.coli	earp
0.939	E.coli	earp
1.565	E.coli	earp
1.207	E.coli	earp
1.207	E.coli	earp
1.386	E.coli	earp
1.476	E.coli	earp
1.252	E.coli	earp
1.207	E.coli	earp
1.252	E.coli	earp
1.118	E.coli	earp
1.118	E.coli	earp
1.073	E.coli	earp
1.297	E.coli	earp
1.118	E.coli	earp
1.163	E.coli	earp
1.252	E.coli	earp
1.073	E.coli	earp
1.297	E.coli	earp
1.386	E.coli	earp
1.118	E.coli	earp
1.52	E.coli	earp
1.297	E.coli	earp
1.297	E.coli	earp
1.386	E.coli	earp
1.431	E.coli	earp
1.163	E.coli	earp
0.984	E.coli	earp
1.073	E.coli	earp
1.207	E.coli	earp
1.163	E.coli	earp
0.894	E.coli	earp
1.341	E.coli	earp
1.163	E.coli	earp
1.341	E.coli	earp
1.073	E.coli	earp
1.386	E.coli	earp
1.297	E.coli	earp
1.52	E.coli	earp
0.537	Empty.vector	earp
0.492	Empty.vector	earp
0.492	Empty.vector	earp
0.537	Empty.vector	earp
0.581	Empty.vector	earp
0.537	Empty.vector	earp
0.492	Empty.vector	earp
0.537	Empty.vector	earp
0.537	Empty.vector	earp
0.358	Empty.vector	earp
0.358	Empty.vector	earp
0.671	Empty.vector	earp
0.358	Empty.vector	earp
0.268	Empty.vector	earp
0.268	Empty.vector	earp
0.447	Empty.vector	earp
0.224	G.ferrihydriticus	earp
0.492	G.ferrihydriticus	earp
0.402	G.ferrihydriticus	earp
0.492	G.ferrihydriticus	earp
0.581	G.ferrihydriticus	earp
0.447	G.ferrihydriticus	earp
0.492	G.ferrihydriticus	earp
0.492	G.ferrihydriticus	earp
0.402	G.ferrihydriticus	earp
0.626	G.ferrihydriticus	earp
0.313	G.ferrihydriticus	earp
0.671	G.ferrihydriticus	earp
0.492	G.ferrihydriticus	earp
0.358	G.ferrihydriticus	earp
0.358	G.ferrihydriticus	earp
0.581	G.ferrihydriticus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.626	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.537	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.268	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.492	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.447	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.402	H.aurantiacus	earp
0.358	H.aurantiacus	earp
0.358	H.aurantiacus	earp
